"Step","no_attack - train/loss","no_attack - train/loss__MIN","no_attack - train/loss__MAX"
"1","0.6904","0.6904","0.6904"
"2","0.6993","0.6993","0.6993"
"3","0.7045","0.7045","0.7045"
"4","0.6955","0.6955","0.6955"
"5","0.6942","0.6942","0.6942"
"6","0.6931","0.6931","0.6931"
"7","0.6935","0.6935","0.6935"
"8","0.7058","0.7058","0.7058"
"9","0.7031","0.7031","0.7031"
"10","0.682","0.682","0.682"
"11","0.6825","0.6825","0.6825"
"12","0.6717","0.6717","0.6717"
"13","0.6844","0.6844","0.6844"
"14","0.6665","0.6665","0.6665"
"15","0.6243","0.6243","0.6243"
"16","0.5989","0.5989","0.5989"
"17","0.5312","0.5312","0.5312"
"18","0.495","0.495","0.495"
"19","0.4345","0.4345","0.4345"
"20","0.4138","0.4138","0.4138"
"21","0.4725","0.4725","0.4725"
"22","0.3203","0.3203","0.3203"
"23","0.4163","0.4163","0.4163"
"24","0.2643","0.2643","0.2643"
"25","0.213","0.213","0.213"
"26","0.4386","0.4386","0.4386"
"27","0.4061","0.4061","0.4061"
"28","0.3261","0.3261","0.3261"
"29","0.6629","0.6629","0.6629"
"30","0.4538","0.4538","0.4538"
"31","0.4242","0.4242","0.4242"
"32","0.3567","0.3567","0.3567"
"33","0.2922","0.2922","0.2922"
"34","0.4741","0.4741","0.4741"
"35","0.3123","0.3123","0.3123"
"36","0.261","0.261","0.261"
"37","0.3534","0.3534","0.3534"
"38","0.4564","0.4564","0.4564"
"39","0.3721","0.3721","0.3721"
"40","0.4218","0.4218","0.4218"
"41","0.3117","0.3117","0.3117"
"42","0.3421","0.3421","0.3421"
"43","0.4108","0.4108","0.4108"
"44","0.3506","0.3506","0.3506"
"45","0.4145","0.4145","0.4145"
"46","0.2444","0.2444","0.2444"
"47","0.4031","0.4031","0.4031"
"48","0.4327","0.4327","0.4327"
"49","0.2598","0.2598","0.2598"
"50","0.4003","0.4003","0.4003"
"51","0.2151","0.2151","0.2151"
"52","0.2758","0.2758","0.2758"
"53","0.307","0.307","0.307"
"54","0.2282","0.2282","0.2282"
"55","0.5182","0.5182","0.5182"
"56","0.6456","0.6456","0.6456"
"57","0.295","0.295","0.295"
"58","0.2503","0.2503","0.2503"
"59","0.3204","0.3204","0.3204"
"60","0.3883","0.3883","0.3883"
"61","0.4073","0.4073","0.4073"
"62","0.3747","0.3747","0.3747"
"63","0.2906","0.2906","0.2906"
"64","0.2285","0.2285","0.2285"
"65","0.4251","0.4251","0.4251"
"66","0.3305","0.3305","0.3305"
"67","0.3352","0.3352","0.3352"
"68","0.4406","0.4406","0.4406"
"69","0.3881","0.3881","0.3881"
"70","0.2991","0.2991","0.2991"
"71","0.2849","0.2849","0.2849"
"72","0.2547","0.2547","0.2547"
"73","0.2831","0.2831","0.2831"
"74","0.2716","0.2716","0.2716"
"75","0.4345","0.4345","0.4345"
"76","0.1935","0.1935","0.1935"
"77","0.2544","0.2544","0.2544"
"78","0.1773","0.1773","0.1773"
"79","0.4382","0.4382","0.4382"
"80","0.3458","0.3458","0.3458"
"81","0.3521","0.3521","0.3521"
"82","0.3236","0.3236","0.3236"
"83","0.1388","0.1388","0.1388"
"84","0.3306","0.3306","0.3306"
"85","0.3035","0.3035","0.3035"
"86","0.3471","0.3471","0.3471"
"87","0.3221","0.3221","0.3221"
"88","0.3048","0.3048","0.3048"
"89","0.208","0.208","0.208"
"90","0.1987","0.1987","0.1987"
"91","0.3843","0.3843","0.3843"
"92","0.3344","0.3344","0.3344"
"93","0.403","0.403","0.403"
"94","0.2856","0.2856","0.2856"
"95","0.3062","0.3062","0.3062"
"96","0.2679","0.2679","0.2679"
"97","0.1497","0.1497","0.1497"
"98","0.4323","0.4323","0.4323"
"99","0.4398","0.4398","0.4398"
"100","0.4381","0.4381","0.4381"
"101","0.2926","0.2926","0.2926"
"102","0.3483","0.3483","0.3483"
"103","0.3069","0.3069","0.3069"
"104","0.3277","0.3277","0.3277"
"105","0.2665","0.2665","0.2665"
"106","0.3121","0.3121","0.3121"
"107","0.3251","0.3251","0.3251"
"108","0.4437","0.4437","0.4437"
"109","0.2013","0.2013","0.2013"
