"Step","no_attack - train/loss","no_attack - train/loss__MIN","no_attack - train/loss__MAX"
"1","0.7034","0.7034","0.7034"
"2","0.6928","0.6928","0.6928"
"3","0.695","0.695","0.695"
"4","0.7028","0.7028","0.7028"
"5","0.6956","0.6956","0.6956"
"6","0.6916","0.6916","0.6916"
"7","0.6874","0.6874","0.6874"
"8","0.6766","0.6766","0.6766"
"9","0.6602","0.6602","0.6602"
"10","0.6357","0.6357","0.6357"
"11","0.5762","0.5762","0.5762"
"12","0.5056","0.5056","0.5056"
"13","0.4672","0.4672","0.4672"
"14","0.3565","0.3565","0.3565"
"15","0.4475","0.4475","0.4475"
"16","0.4059","0.4059","0.4059"
"17","0.301","0.301","0.301"
"18","0.3943","0.3943","0.3943"
"19","0.3673","0.3673","0.3673"
"20","0.369","0.369","0.369"
"21","0.3689","0.3689","0.3689"
"22","0.3425","0.3425","0.3425"
"23","0.3773","0.3773","0.3773"
"24","0.3182","0.3182","0.3182"
"25","0.3099","0.3099","0.3099"
"26","0.2873","0.2873","0.2873"
"27","0.4133","0.4133","0.4133"
"28","0.2697","0.2697","0.2697"
"29","0.3741","0.3741","0.3741"
"30","0.3892","0.3892","0.3892"
"31","0.4438","0.4438","0.4438"
"32","0.2956","0.2956","0.2956"
"33","0.3613","0.3613","0.3613"
"34","0.3947","0.3947","0.3947"
"35","0.2824","0.2824","0.2824"
"36","0.3817","0.3817","0.3817"
"37","0.2804","0.2804","0.2804"
"38","0.3424","0.3424","0.3424"
"39","0.3002","0.3002","0.3002"
"40","0.3307","0.3307","0.3307"
"41","0.3363","0.3363","0.3363"
"42","0.3032","0.3032","0.3032"
"43","0.262","0.262","0.262"
"44","0.3276","0.3276","0.3276"
"45","0.3483","0.3483","0.3483"
"46","0.2837","0.2837","0.2837"
"47","0.2934","0.2934","0.2934"
"48","0.2672","0.2672","0.2672"
"49","0.3368","0.3368","0.3368"
"50","0.3377","0.3377","0.3377"
"51","0.2594","0.2594","0.2594"
"52","0.2091","0.2091","0.2091"
"53","0.249","0.249","0.249"
"54","0.2501","0.2501","0.2501"
"55","0.3735","0.3735","0.3735"
"56","0.2912","0.2912","0.2912"
"57","0.3011","0.3011","0.3011"
"58","0.2192","0.2192","0.2192"
"59","0.266","0.266","0.266"
"60","0.3599","0.3599","0.3599"
"61","0.32","0.32","0.32"
"62","0.2833","0.2833","0.2833"
"63","0.2927","0.2927","0.2927"
"64","0.2677","0.2677","0.2677"
"65","0.2199","0.2199","0.2199"
"66","0.3232","0.3232","0.3232"
"67","0.2158","0.2158","0.2158"
"68","0.3565","0.3565","0.3565"
"69","0.3332","0.3332","0.3332"
"70","0.2798","0.2798","0.2798"
"71","0.3186","0.3186","0.3186"
"72","0.3255","0.3255","0.3255"
"73","0.2734","0.2734","0.2734"
"74","0.347","0.347","0.347"
"75","0.2736","0.2736","0.2736"
"76","0.2671","0.2671","0.2671"
"77","0.2937","0.2937","0.2937"
"78","0.2545","0.2545","0.2545"
"79","0.2889","0.2889","0.2889"
